name;owner;creation;modified;modified_by;docstatus;idx;naming_series;stock_entry_type;purpose;add_to_transit;company;posting_date;titulo_ongsys;idpedido_ongsys;posting_time;set_posting_time;inspection_required;apply_putaway_rule;from_bom;use_multi_level_bom;fg_completed_qty;process_loss_percentage;process_loss_qty;last_scanned_warehouse;total_outgoing_value;total_incoming_value;value_difference;total_additional_costs;is_opening;per_transferred;total_amount;is_return;doctype;to_warehouse;from_warehouse
MAT-STE-2025-01011;Administrator;2025-11-28 14:40:56.247558;2025-11-28 14:40:56.247558;Administrator;1;1;MAT-STE-.YYYY.-;Entrada de Material;Material Receipt;0;CDC;2025-08-25;01. Pedido ATITUDE - JABOATÃO INTENSIVO - Carnes e Frios - 02.09.2025 ;34;14:40:56.238796;1;0;0;0;1;0.0;0.0;0.0;;0.0;169.5;169.5;0.0;No;0.0;169.5;0;Stock Entry;;
MAT-STE-2025-01022;Administrator;2025-11-28 14:41:13.450268;2025-11-28 14:41:13.450268;Administrator;1;3;MAT-STE-.YYYY.-;Entrada de Material;Material Receipt;0;CDC;2025-08-25;01. Pedido ATITUDE - JABOATÃO INTENSIVO - Hortifruti - 02.09.2025;45;14:41:13.44178;1;0;0;0;1;0.0;0.0;0.0;;0.0;153.5;153.5;0.0;No;0.0;153.5;0;Stock Entry;;
MAT-STE-2025-01066;Administrator;2025-11-28 14:42:21.186612;2025-11-28 14:42:21.186612;Administrator;1;2;MAT-STE-.YYYY.-;Entrada de Material;Material Receipt;0;CDC;2025-08-25;01. Pedido ATITUDE - CARUARU INTENSIVO - Hortifruti - 02.09.2025;105;14:42:21.178266;1;0;0;0;1;0.0;0.0;0.0;;0.0;128.5;128.5;0.0;No;0.0;128.5;0;Stock Entry;;
MAT-STE-2026-00250;Administrator;2026-01-22 17:05:49.289286;2026-01-22 17:05:49.289286;Administrator;1;3;MAT-STE-.YYYY.-;Entrada de Material;Material Receipt;0;CDC;2025-08-25;01. Pedido ATITUDE - JABOATÃO INTENSIVO - Carnes e Frios - 02.09.2025 ;;17:05:49.275227;1;0;0;0;1;0.0;0.0;0.0;;0.0;169.5;169.5;0.0;No;0.0;169.5;0;Stock Entry;;
MAT-STE-2026-00261;Administrator;2026-01-22 17:06:05.972034;2026-01-22 17:06:05.972034;Administrator;1;2;MAT-STE-.YYYY.-;Entrada de Material;Material Receipt;0;CDC;2025-08-25;01. Pedido ATITUDE - JABOATÃO INTENSIVO - Hortifruti - 02.09.2025;;17:06:5.964506;1;0;0;0;1;0.0;0.0;0.0;;0.0;108.96;108.96;0.0;No;0.0;108.96;0;Stock Entry;;
MAT-STE-2026-00305;Administrator;2026-01-22 17:07:14.373331;2026-01-22 17:07:14.373331;Administrator;1;1;MAT-STE-.YYYY.-;Entrada de Material;Material Receipt;0;CDC;2025-08-25;01. Pedido ATITUDE - CARUARU INTENSIVO - Hortifruti - 02.09.2025;;17:07:14.364433;1;0;0;0;1;0.0;0.0;0.0;;0.0;72.49;72.49;0.0;No;0.0;72.49;0;Stock Entry;;
MAT-STE-2025-01007;Administrator;2025-11-28 14:40:50.126671;2025-11-28 14:40:50.126671;Administrator;1;5;MAT-STE-.YYYY.-;Entrada de Material;Material Receipt;0;CDC;2025-08-26;01. Pedido ATITUDE - RECIFE INTENSIVO - Hortifruti - 02.09.2025 ;30;14:40:50.114044;1;0;0;0;1;0.0;0.0;0.0;;0.0;187.0;187.0;0.0;No;0.0;187.0;0;Stock Entry;;
MAT-STE-2025-01009;Administrator;2025-11-28 14:40:53.742001;2025-11-28 14:40:53.742001;Administrator;1;1;MAT-STE-.YYYY.-;Entrada de Material;Material Receipt;0;CDC;2025-08-26;01. Pedido ATITUDE - RECIFE INTENSIVO - Carnes e Frios - 02.09.2025;32;14:40:53.734258;1;0;0;0;1;0.0;0.0;0.0;;0.0;132.0;132.0;0.0;No;0.0;132.0;0;Stock Entry;;
MAT-STE-2025-01010;Administrator;2025-11-28 14:40:54.951509;2025-11-28 14:40:54.951509;Administrator;1;4;MAT-STE-.YYYY.-;Entrada de Material;Material Receipt;0;CDC;2025-08-26;01. Pedido ATITUDE - RECIFE BREVE - Carnes e Frios - 02.09.2025;33;14:40:54.929523;1;0;0;0;1;0.0;0.0;0.0;;0.0;145.5;145.5;0.0;No;0.0;145.5;0;Stock Entry;;
MAT-STE-2025-01012;Administrator;2025-11-28 14:40:57.568750;2025-11-28 14:40:57.568750;Administrator;1;1;MAT-STE-.YYYY.-;Entrada de Material;Material Receipt;0;CDC;2025-08-26;01. Pedido ATITUDE - JABOATÃO BREVE - Carnes e Frios - 02.09.2025;35;14:40:57.560756;1;0;0;0;1;0.0;0.0;0.0;;0.0;110.5;110.5;0.0;No;0.0;110.5;0;Stock Entry;;
